"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-09-16,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-17,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-09-17,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-09-22,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-22,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",2
2016-09-26,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-09-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-30,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",2
2016-10-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",4
2016-10-02,"new","Moramanga",8,"MG33314","MG33314150",0,"Moramanga",1
2016-10-03,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-03,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-10-04,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-06,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-06,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-07,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-07,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",3
2016-10-07,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-10-08,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-09,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-09,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-10-10,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-10-10,"transfer","Moramanga",8,"MG33314","MG33314092",0,"Moramanga",1
2016-10-11,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",2
2016-10-12,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-17,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-18,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-18,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-10-19,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-19,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-10-19,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-10-20,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-20,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
2016-10-20,"transfer","Moramanga",8,"MG11107","MG11107019",0,"Moramanga",1
2016-10-21,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-22,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2016-10-23,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-10-25,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-10-25,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2016-10-26,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-10-28,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-29,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-10-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-02,"new","Moramanga",8,"MG31307","MG31307010",0,"Moramanga",1
2016-11-02,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-11-02,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",2
2016-11-02,"transfer","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-03,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-03,"new","Moramanga",8,"MG33314","MG33314150",0,"Moramanga",1
2016-11-03,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-11-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-11-06,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-06,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-11-07,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-11-07,"new","Moramanga",8,"MG33314","MG33314170",0,"Moramanga",1
2016-11-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-10,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-11,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-11-12,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-14,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-14,"new","Moramanga",8,"MG33314","MG33314092",0,"Moramanga",1
2016-11-14,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-11-15,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-11-16,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-16,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-11-17,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-17,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2016-11-17,"new","Moramanga",8,"MG33314","MG33314092",1,"Moramanga",1
2016-11-17,"new","Moramanga",8,"MG33317","MG33317053",0,"Moramanga",1
2016-11-19,"new","Moramanga",8,"MG33314","MG33314091",0,"Moramanga",1
2016-11-20,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-21,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-11-22,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-23,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-11-23,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-11-24,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-24,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",1
2016-11-25,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-25,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",1
2016-11-26,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-26,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2016-11-26,"new","Moramanga",8,"MG33314","MG33314092",1,"Moramanga",6
2016-11-26,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-11-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-27,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-11-27,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",2
2016-11-28,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-11-28,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
2016-11-28,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-11-28,"new","Moramanga",8,"MG33314","MG33314310",0,"Moramanga",1
2016-11-29,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-11-29,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-11-29,"new","Moramanga",8,"MG33314","MG33314170",0,"Moramanga",1
